latitude,longitude,temperature_anomaly
48.75,-125.0,-6.543670654296875
48.75,-124.75,-6.9188232421875
48.75,-124.5,-8.22430419921875
48.75,-124.25,-7.38641357421875
48.75,-124.0,-6.875335693359375
48.75,-123.75,-6.74932861328125
48.75,-122.25,-5.79931640625
48.75,-122.0,-7.398223876953125
48.75,-121.75,-7.53399658203125
48.75,-121.5,-7.005340576171875
48.75,-121.25,-6.788238525390625
48.75,-121.0,-6.112396240234375
48.75,-120.75,-7.9896240234375
48.75,-120.5,-7.29302978515625
48.75,-120.25,-6.889373779296875
48.75,-120.0,-7.33587646484375
48.75,-119.75,-7.01416015625
48.75,-119.25,-5.699920654296875
48.75,-119.0,-7.814361572265625
48.75,-118.5,-7.120147705078125
48.75,-118.25,-6.665283203125
48.75,-117.75,-7.269317626953125
48.75,-117.5,-6.794097900390625
48.75,-117.25,-6.081451416015625
48.75,-116.75,-6.702850341796875
48.75,-116.5,-6.6011962890625
48.75,-116.0,-5.7930908203125
48.75,-115.75,-5.8076171875
48.75,-115.5,-5.75018310546875
48.75,-115.25,-5.746795654296875
48.75,-114.75,-5.23675537109375
48.75,-114.5,-6.12371826171875
48.75,-113.5,-5.346435546875
48.75,-113.25,-7.403411865234375
48.75,-113.0,-7.655059814453125
48.75,-112.75,-6.867279052734375
48.75,-112.5,-6.349639892578125
48.75,-112.25,-6.598846435546875
48.75,-112.0,-6.381317138671875
48.75,-111.75,-5.8778076171875
48.75,-111.5,-5.5150146484375
48.75,-111.25,-5.397491455078125
48.75,-111.0,-5.1517333984375
48.75,-110.75,-5.093841552734375
48.75,-88.5,5.77667236328125
48.75,-88.25,5.6490478515625
48.75,-88.0,5.5743408203125
48.75,-87.75,6.028289794921875
48.75,-87.5,6.22412109375
48.75,-87.25,6.0531005859375
48.75,-87.0,6.100616455078125
48.75,-86.75,5.88818359375
48.75,-80.0,5.332183837890625
48.75,-77.75,5.3162841796875
48.75,-77.5,5.2423095703125
48.75,-77.25,5.6573486328125
48.75,-77.0,5.498626708984375
48.75,-76.75,5.98394775390625
48.75,-76.5,6.1414794921875
48.75,-76.25,6.12017822265625
48.75,-76.0,5.716827392578125
48.75,-75.75,5.8538818359375
48.75,-75.5,6.068634033203125
48.75,-75.25,5.95745849609375
48.75,-75.0,5.722381591796875
48.75,-74.75,5.668304443359375
48.75,-74.5,5.766143798828125
48.75,-74.25,6.01629638671875
48.75,-74.0,6.56793212890625
48.75,-73.75,6.970855712890625
48.75,-73.5,6.70562744140625
48.75,-73.25,6.60919189453125
48.75,-73.0,6.2843017578125
48.75,-72.75,6.126312255859375
48.75,-72.5,5.637725830078125
48.75,-71.5,5.407989501953125
48.75,-71.25,5.876373291015625
48.75,-71.0,6.147430419921875
48.75,-70.75,6.364044189453125
48.75,-70.5,6.892730712890625
48.75,-70.25,6.551239013671875
48.75,-70.0,6.412933349609375
48.75,-69.75,5.93792724609375
48.75,-69.5,5.38037109375
48.75,-69.0,5.29327392578125
48.75,-68.75,5.707427978515625
48.75,-68.5,5.326812744140625
48.75,-68.25,5.476837158203125
48.75,-68.0,5.9014892578125
48.75,-67.75,6.51678466796875
48.75,-67.5,6.2286376953125
48.75,-67.25,5.668609619140625
48.75,-67.0,5.139862060546875
48.5,-124.25,-5.380950927734375
48.5,-124.0,-7.774749755859375
48.5,-123.75,-8.0430908203125
48.5,-123.5,-5.718780517578125
48.5,-122.25,-5.226776123046875
48.5,-122.0,-6.568634033203125
48.5,-121.75,-6.0902099609375
48.5,-121.5,-5.39654541015625
48.5,-121.25,-6.51483154296875
48.5,-121.0,-7.6142578125
48.5,-120.75,-7.150787353515625
48.5,-120.5,-7.860870361328125
48.5,-120.0,-7.727691650390625
48.5,-119.75,-6.456146240234375
48.5,-119.25,-6.009124755859375
48.5,-119.0,-6.411956787109375
48.5,-118.5,-7.54376220703125
48.5,-118.0,-5.759979248046875
48.5,-117.75,-6.094573974609375
48.5,-117.5,-7.50738525390625
48.5,-117.25,-5.84466552734375
48.5,-116.75,-6.441650390625
48.5,-116.5,-5.81182861328125
48.5,-116.25,-6.542388916015625
48.5,-116.0,-5.2735595703125
48.5,-115.75,-5.45941162109375
48.5,-115.5,-5.107940673828125
48.5,-115.25,-5.097625732421875
48.5,-115.0,-5.90460205078125
48.5,-114.25,-5.4949951171875
48.5,-113.25,-5.8648681640625
48.5,-113.0,-7.79327392578125
48.5,-112.75,-6.858428955078125
48.5,-112.5,-6.06103515625
48.5,-112.25,-6.0313720703125
48.5,-112.0,-5.840576171875
48.5,-111.75,-5.839599609375
48.5,-111.5,-5.762847900390625
48.5,-111.25,-5.75860595703125
48.5,-111.0,-5.383453369140625
48.5,-110.75,-5.49102783203125
48.5,-110.5,-5.31475830078125
48.5,-110.25,-5.31085205078125
48.5,-88.75,5.4713134765625
48.5,-88.5,5.518707275390625
48.5,-88.25,5.925018310546875
48.5,-88.0,6.173187255859375
48.5,-87.75,5.999542236328125
48.5,-87.5,6.06884765625
48.5,-87.25,6.178436279296875
48.5,-87.0,6.2244873046875
48.5,-86.75,6.0968017578125
48.5,-86.5,6.279296875
48.5,-86.25,6.01910400390625
48.5,-86.0,5.358428955078125
48.5,-85.75,5.520172119140625
48.5,-85.5,5.185577392578125
48.5,-85.25,5.227874755859375
48.5,-80.75,5.223388671875
48.5,-79.0,5.095703125
48.5,-78.5,5.141693115234375
48.5,-78.25,5.089019775390625
48.5,-78.0,5.05401611328125
48.5,-77.75,5.420166015625
48.5,-77.5,5.51995849609375
48.5,-77.25,5.51904296875
48.5,-77.0,5.962249755859375
48.5,-76.75,5.83538818359375
48.5,-76.5,5.651580810546875
48.5,-76.25,5.9635009765625
48.5,-76.0,6.09283447265625
48.5,-75.75,5.7919921875
48.5,-75.5,5.652069091796875
48.5,-75.25,5.488067626953125
48.5,-75.0,5.51239013671875
48.5,-74.75,5.53155517578125
48.5,-74.25,5.796722412109375
48.5,-74.0,6.482025146484375
48.5,-73.75,6.669525146484375
48.5,-73.5,6.57965087890625
48.5,-73.25,6.787109375
48.5,-73.0,6.44097900390625
48.5,-72.75,6.028472900390625
48.5,-72.5,6.3360595703125
48.5,-72.25,6.29901123046875
48.5,-72.0,5.318695068359375
48.5,-71.75,5.568511962890625
48.5,-71.0,6.058868408203125
48.5,-70.75,6.388763427734375
48.5,-70.5,5.80474853515625
48.5,-70.25,5.48333740234375
48.5,-70.0,5.8233642578125
48.5,-69.75,5.192291259765625
48.5,-69.25,5.292938232421875
48.5,-69.0,5.8031005859375
48.5,-68.75,5.2637939453125
48.5,-68.5,5.0750732421875
48.5,-68.25,6.826324462890625
48.5,-68.0,6.81170654296875
48.5,-67.75,5.797576904296875
48.5,-67.5,5.871795654296875
48.5,-67.25,6.035186767578125
48.5,-67.0,5.8931884765625
48.25,-124.5,-6.92681884765625
48.25,-122.25,-6.1971435546875
48.25,-122.0,-6.76025390625
48.25,-121.75,-7.7763671875
48.25,-121.5,-5.1871337890625
48.25,-121.25,-5.496368408203125
48.25,-121.0,-7.13897705078125
48.25,-120.75,-5.03759765625
48.25,-120.5,-6.698577880859375
48.25,-120.25,-7.5943603515625
48.25,-120.0,-5.521575927734375
48.25,-119.75,-5.254302978515625
48.25,-119.25,-5.14886474609375
48.25,-119.0,-6.057830810546875
48.25,-118.75,-5.515167236328125
48.25,-118.5,-7.313629150390625
48.25,-118.0,-6.69305419921875
48.25,-117.75,-5.226318359375
48.25,-117.5,-7.40777587890625
48.25,-117.25,-6.189208984375
48.25,-117.0,-6.515167236328125
48.25,-116.75,-6.911468505859375
48.25,-116.0,-6.59765625
48.25,-115.75,-6.97528076171875
48.25,-115.25,-5.362060546875
48.25,-114.75,-5.482879638671875
48.25,-114.0,-5.69866943359375
48.25,-113.0,-5.689239501953125
48.25,-112.5,-5.582733154296875
48.25,-112.25,-5.737457275390625
48.25,-112.0,-5.868804931640625
48.25,-111.75,-5.955810546875
48.25,-111.5,-6.481475830078125
48.25,-111.25,-5.9217529296875
48.25,-111.0,-5.514862060546875
48.25,-110.75,-5.189910888671875
48.25,-110.5,-5.11407470703125
48.25,-89.0,5.56549072265625
48.25,-88.75,5.848724365234375
48.25,-88.5,6.083587646484375
48.25,-88.25,6.082061767578125
48.25,-88.0,6.2371826171875
48.25,-87.75,6.289154052734375
48.25,-87.5,6.193328857421875
48.25,-87.25,6.226776123046875
48.25,-87.0,6.146148681640625
48.25,-86.75,6.299163818359375
48.25,-86.5,6.21844482421875
48.25,-86.25,6.212860107421875
48.25,-85.5,5.01800537109375
48.25,-85.0,5.010040283203125
48.25,-84.75,5.2386474609375
48.25,-84.25,5.035491943359375
48.25,-84.0,5.0618896484375
48.25,-83.75,5.110809326171875
48.25,-81.25,5.25921630859375
48.25,-81.0,5.398590087890625
48.25,-80.75,5.1068115234375
48.25,-78.75,5.316497802734375
48.25,-78.5,5.161346435546875
48.25,-78.25,5.224639892578125
48.25,-78.0,5.547210693359375
48.25,-77.75,5.219451904296875
