latitude,longitude,wind_speed
49.0,-68.0,17.575551986694336
49.0,-67.75,17.06681251525879
49.0,-67.5,19.057510375976562
49.0,-67.25,17.418100357055664
48.75,-113.25,15.497613906860352
48.75,-87.75,15.363790512084961
48.75,-87.5,15.710912704467773
48.75,-68.5,15.28819751739502
48.75,-68.25,17.347515106201172
48.75,-68.0,15.36665153503418
48.5,-88.0,15.92750358581543
48.5,-87.75,15.024731636047363
48.5,-87.5,15.846694946289062
48.5,-87.25,15.640081405639648
48.5,-87.0,15.031363487243652
48.5,-86.75,16.03822898864746
48.5,-86.5,17.46371078491211
48.25,-88.0,15.185922622680664
48.25,-87.75,16.321109771728516
48.25,-87.5,16.433650970458984
48.25,-87.25,16.607807159423828
48.25,-87.0,16.32301139831543
48.25,-86.75,17.060274124145508
48.25,-86.5,16.697786331176758
48.25,-86.25,16.817434310913086
48.25,-69.25,15.793545722961426
48.0,-88.0,16.00415802001953
48.0,-87.75,15.617676734924316
48.0,-87.5,16.33222770690918
48.0,-87.25,15.83006763458252
48.0,-87.0,15.896925926208496
48.0,-86.75,15.8202486038208
48.0,-86.5,15.681380271911621
48.0,-86.25,15.590646743774414
47.75,-88.25,16.32709312438965
47.75,-88.0,16.783552169799805
47.75,-87.75,16.45351219177246
47.75,-87.5,15.530118942260742
47.75,-86.5,15.194275856018066
47.75,-86.25,15.489368438720703
47.75,-85.5,15.440157890319824
47.75,-85.25,15.748702049255371
47.5,-88.5,17.3994197845459
47.5,-88.25,15.703630447387695
47.5,-87.5,16.431278228759766
47.5,-87.25,15.250182151794434
47.5,-87.0,15.11426067352295
47.5,-86.75,15.094324111938477
47.5,-86.5,15.426806449890137
47.5,-86.25,15.027832984924316
47.5,-86.0,15.228357315063477
47.5,-85.75,15.378499984741211
47.5,-85.5,15.277050018310547
47.25,-87.75,16.96723747253418
47.25,-87.5,16.136817932128906
47.25,-87.25,15.22598648071289
47.25,-86.0,15.030169486999512
47.25,-85.75,15.924126625061035
47.25,-85.5,15.742595672607422
47.25,-85.25,15.494709014892578
47.0,-88.0,15.629205703735352
47.0,-87.75,15.974295616149902
47.0,-87.5,15.939469337463379
46.75,-84.75,16.515079498291016
46.5,-124.75,15.322286605834961
46.5,-124.25,15.382622718811035
46.25,-125.0,16.227441787719727
46.25,-124.75,16.308765411376953
46.25,-124.5,15.049467086791992
46.25,-124.25,15.035444259643555
46.0,-125.0,15.706083297729492
46.0,-124.75,15.130867004394531
46.0,-124.5,15.50500774383545
46.0,-124.25,15.381988525390625
45.75,-125.0,15.324087142944336
45.75,-124.75,15.153950691223145
45.75,-124.5,15.179154396057129
45.75,-124.25,15.037256240844727
45.75,-84.25,15.419227600097656
45.75,-83.5,15.943947792053223
45.75,-83.25,15.438360214233398
45.5,-125.0,15.572162628173828
45.5,-124.75,15.624297142028809
45.5,-124.5,15.87723159790039
45.5,-124.25,15.071099281311035
45.5,-124.0,18.37994956970215
45.5,-83.75,15.698092460632324
45.5,-83.5,16.806901931762695
45.5,-83.25,16.136728286743164
45.5,-83.0,15.484118461608887
45.5,-82.75,15.348319053649902
45.5,-82.5,15.923615455627441
45.5,-82.25,16.776771545410156
45.5,-80.75,15.027464866638184
45.5,-80.5,15.359277725219727
45.25,-125.0,15.801243782043457
45.25,-124.75,15.562454223632812
45.25,-124.5,15.868549346923828
45.25,-124.25,19.24077606201172
45.25,-124.0,15.786018371582031
45.25,-86.75,15.012601852416992
45.25,-83.0,16.243913650512695
45.25,-82.75,16.78592872619629
45.25,-82.5,16.553918838500977
45.25,-82.25,16.007726669311523
45.25,-82.0,17.123273849487305
45.25,-81.75,16.920759201049805
45.25,-80.75,15.283390045166016
45.25,-80.5,15.801600456237793
45.25,-80.25,15.528898239135742
45.0,-125.0,15.355384826660156
45.0,-124.75,15.022685050964355
45.0,-124.5,16.91542625427246
45.0,-124.25,18.939388275146484
45.0,-82.75,15.417950630187988
45.0,-82.5,15.994291305541992
45.0,-82.25,17.050718307495117
45.0,-82.0,16.75939178466797
45.0,-81.75,18.418792724609375
45.0,-81.5,16.155073165893555
45.0,-80.5,15.767460823059082
45.0,-80.25,16.943359375
45.0,-80.0,15.807097434997559
45.0,-67.0,15.622651100158691
44.75,-125.0,15.303696632385254
44.75,-124.75,15.792737007141113
44.75,-124.5,18.36020851135254
44.75,-124.25,17.95424461364746
44.75,-86.75,15.023313522338867
44.75,-82.25,15.708914756774902
44.75,-82.0,17.00075912475586
44.75,-81.75,17.25112533569336
44.75,-81.5,18.34340476989746
44.75,-80.5,15.34114933013916
44.75,-80.25,16.639986038208008
44.5,-125.0,15.358020782470703
44.5,-124.75,17.98046875
44.5,-124.5,17.057207107543945
44.5,-124.25,18.864389419555664
44.5,-82.25,15.506220817565918
44.5,-82.0,15.791682243347168
44.5,-81.75,16.08650016784668
44.5,-81.5,16.227596282958984
44.5,-67.5,17.6640567779541
44.5,-67.25,17.828567504882812
44.5,-67.0,17.96921157836914
44.25,-125.0,15.838668823242188
44.25,-124.75,17.271656036376953
44.25,-124.5,17.452177047729492
44.25,-124.25,18.803340911865234
44.25,-82.25,15.28847599029541
44.25,-81.75,16.029586791992188
44.25,-68.0,18.08714485168457
44.25,-67.75,17.811267852783203
44.25,-67.5,17.90436553955078
44.25,-67.25,18.65186882019043
44.25,-67.0,18.149843215942383
44.0,-125.0,19.39177703857422
44.0,-124.75,19.51346206665039
44.0,-124.5,18.328386306762695
44.0,-124.25,18.851438522338867
44.0,-82.5,15.490161895751953
44.0,-82.0,15.319178581237793
44.0,-76.5,15.714591026306152
44.0,-68.75,16.27147674560547
44.0,-68.5,17.55924415588379
44.0,-68.25,17.53028678894043
44.0,-68.0,17.24083137512207
44.0,-67.75,17.34697151184082
44.0,-67.5,17.50604248046875
44.0,-67.25,17.775646209716797
44.0,-67.0,17.848852157592773
43.75,-125.0,17.67475700378418
43.75,-124.75,18.78852653503418
43.75,-124.5,18.203561782836914
43.75,-124.25,17.319656372070312
43.75,-79.0,15.901552200317383
43.75,-78.75,17.908830642700195
43.75,-78.5,18.668018341064453
43.75,-78.25,19.51249885559082
43.75,-78.0,19.338603973388672
43.75,-77.75,18.41073226928711
43.75,-77.5,18.863492965698242
43.75,-77.25,20.31922721862793
43.75,-77.0,19.763748168945312
43.75,-76.75,18.802879333496094
43.75,-76.5,18.092144012451172
43.75,-69.5,15.74630355834961
43.75,-69.25,16.63389015197754
43.75,-69.0,17.69423484802246
43.75,-68.75,17.786235809326172
43.75,-68.5,17.23853302001953
43.75,-68.25,17.441471099853516
43.75,-68.0,17.63593101501465
43.75,-67.75,17.50857925415039
43.75,-67.5,17.684301376342773
43.75,-67.25,17.669857025146484
43.75,-67.0,17.603296279907227
43.5,-125.0,17.96322250366211
43.5,-124.75,17.304271697998047
43.5,-124.5,18.51622772216797
43.5,-79.25,15.243148803710938
43.5,-79.0,16.827180862426758
43.5,-78.75,17.96613883972168
43.5,-78.5,19.193693161010742
43.5,-78.25,20.18354034423828
43.5,-78.0,20.58012580871582
43.5,-77.75,20.12497901916504
43.5,-77.5,20.40496826171875
43.5,-77.25,21.10795783996582
43.5,-77.0,20.644088745117188
43.5,-76.75,21.760251998901367
43.5,-76.5,15.48359203338623
43.5,-70.0,16.55034828186035
43.5,-69.75,17.10085678100586
43.5,-69.5,17.94767951965332
43.5,-69.25,18.290616989135742
43.5,-69.0,17.036514282226562
43.5,-68.75,16.63345718383789
43.5,-68.5,17.244667053222656
43.5,-68.25,17.33993148803711
43.5,-68.0,17.229473114013672
43.5,-67.75,18.094499588012695
43.5,-67.5,18.649635314941406
43.5,-67.25,18.371322631835938
43.5,-67.0,18.03150177001953
43.25,-125.0,17.38849639892578
43.25,-124.75,17.572235107421875
43.25,-124.5,16.67013168334961
43.25,-119.0,15.348716735839844
43.25,-118.75,16.55365562438965
43.25,-70.25,15.737337112426758
43.25,-70.0,16.55434799194336
43.25,-69.75,17.239952087402344
43.25,-69.5,16.99335479736328
43.25,-69.25,16.24669075012207
43.25,-69.0,16.261322021484375
43.25,-68.75,16.35028648376465
43.25,-68.5,16.931360244750977
43.25,-68.25,17.267057418823242
43.25,-68.0,17.41274642944336
43.25,-67.75,17.646677017211914
43.25,-67.5,17.86756706237793
43.25,-67.25,18.39909553527832
43.25,-67.0,18.756807327270508
43.0,-125.0,17.33980369567871
43.0,-124.75,17.941740036010742
43.0,-119.25,15.040742874145508
43.0,-119.0,15.780278205871582
43.0,-117.5,16.43756866455078
43.0,-70.25,16.029525756835938
43.0,-70.0,15.955496788024902
43.0,-69.75,15.703593254089355
43.0,-69.5,15.795780181884766
43.0,-69.25,15.378679275512695
43.0,-69.0,15.583571434020996
43.0,-68.75,16.42694854736328
43.0,-68.5,17.425743103027344
43.0,-68.25,18.090599060058594
43.0,-68.0,17.521202087402344
43.0,-67.75,17.58496856689453
43.0,-67.5,18.023296356201172
43.0,-67.25,18.164411544799805
43.0,-67.0,18.273771286010742
42.75,-125.0,16.618732452392578
42.75,-124.75,18.059547424316406
42.75,-119.25,15.301966667175293
42.75,-79.5,15.1807279586792
42.75,-79.25,16.385799407958984
42.75,-70.0,15.26683235168457
42.75,-69.75,16.140626907348633
42.75,-69.5,16.28599739074707
42.75,-69.25,16.015111923217773
42.75,-69.0,16.49070930480957
42.75,-68.75,17.37644386291504
42.75,-68.5,17.93171501159668
42.75,-68.25,17.3878116607666
42.75,-68.0,17.287797927856445
42.75,-67.75,17.894868850708008
42.75,-67.5,18.056236267089844
42.75,-67.25,17.72621726989746
42.75,-67.0,18.782772064208984
42.5,-125.0,16.568130493164062
42.5,-124.75,16.184490203857422
42.5,-124.5,15.892011642456055
42.5,-79.75,15.068155288696289
42.5,-70.25,15.544251441955566
42.5,-70.0,15.668233871459961
42.5,-69.75,16.249916076660156
42.5,-69.5,16.13397216796875
42.5,-69.25,17.184494018554688
42.5,-69.0,17.77713394165039
42.5,-68.75,17.385099411010742
42.5,-68.5,16.674287796020508
42.5,-68.25,17.5506591796875
42.5,-68.0,18.339977264404297
42.5,-67.75,17.94108772277832
42.5,-67.5,17.35472297668457
42.5,-67.25,17.44550132751465
42.5,-67.0,17.42771339416504
42.25,-125.0,16.280136108398438
42.25,-124.75,15.428881645202637
42.25,-105.25,15.112306594848633
42.25,-70.5,15.06431770324707
42.25,-70.0,15.289669036865234
42.25,-69.75,16.17945098876953
42.25,-69.5,16.588960647583008
42.25,-69.25,17.44165802001953
42.25,-69.0,17.39783477783203
42.25,-68.75,16.90856170654297
42.25,-68.5,17.839866638183594
42.25,-68.25,18.380666732788086
42.25,-68.0,17.599258422851562
42.25,-67.75,16.64759635925293
42.25,-67.5,16.880155563354492
42.25,-67.25,16.981273651123047
42.25,-67.0,17.451297760009766
42.0,-125.0,15.28407096862793
42.0,-124.75,15.259148597717285
42.0,-124.5,16.146615982055664
42.0,-70.25,15.355327606201172
42.0,-70.0,16.784244537353516
42.0,-69.75,16.64638900756836
42.0,-69.5,18.100200653076172
42.0,-69.25,16.817386627197266
42.0,-69.0,16.663476943969727
42.0,-68.75,17.939016342163086
42.0,-68.5,18.146133422851562
42.0,-68.25,17.699905395507812
42.0,-68.0,17.005163192749023
42.0,-67.75,16.685415267944336
42.0,-67.5,17.323806762695312
42.0,-67.25,17.735252380371094
42.0,-67.0,19.59885597229004
41.75,-125.0,15.12241268157959
41.75,-124.5,15.31099796295166
41.75,-124.25,16.217002868652344
41.75,-70.0,15.342613220214844
41.75,-69.75,17.791698455810547
41.75,-69.5,16.0946044921875
41.75,-69.25,15.856706619262695
41.75,-69.0,17.60512924194336
41.75,-68.75,17.848756790161133
41.75,-68.5,18.131460189819336
41.75,-68.25,17.756195068359375
41.75,-68.0,17.290264129638672
41.75,-67.75,17.296253204345703
41.75,-67.5,17.05588722229004
41.75,-67.25,18.8613338470459
41.75,-67.0,18.671417236328125
41.5,-125.0,15.087873458862305
41.5,-124.5,15.753849029541016
41.5,-124.25,16.330026626586914
41.5,-70.25,15.183379173278809
41.5,-70.0,16.336637496948242
41.5,-69.75,16.021270751953125
41.5,-69.5,17.293710708618164
41.5,-69.25,16.606660842895508
41.5,-69.0,16.761144638061523
41.5,-68.75,16.269811630249023
41.5,-68.5,16.647811889648438
